	Nucleoplasm	N. membrane	Nucleoli	N. fibrillar c.	N. speckles	N. bodies	ER	Golgi app.	Peroxisomes	Endosomes	Lysosomes	Int. fil.	Actin fil.	F. a. sites	Microtubules	M. ends	Cyt. bridge	Mitotic spindle	MTOC	Centrosome	Lipid droplets	PM	C. Junctions	Mitochondria	Aggresome	Cytosol	C. bodies	Rods & Rings
SIRT2	0.06810271739959717	0.04483015462756157	0.824897825717926	0.09818801283836365	0.022886181250214577	0.051885589957237244	0.28493645787239075	0.11867940425872803	0.0028489285614341497	0.00015034188982099295	0.00015335314674302936	0.1296943575143814	0.014756200835108757	0.026451177895069122	0.01596967689692974	0.0004796379362232983	0.06102501600980759	0.06833375245332718	0.06277429312467575	0.10461204499006271	0.009933464229106903	0.29058346152305603	0.04846980422735214	0.06921106576919556	0.0023305315990000963	0.6463350057601929	0.035231973975896835	0.0010469440603628755
TET3	0.4671442210674286	0.020881930366158485	0.10950088500976562	0.13304054737091064	0.04830215871334076	0.2286824882030487	0.15190525352954865	0.33961719274520874	0.0030675334855914116	0.008471702225506306	0.0075552030466496944	0.15481501817703247	0.057175412774086	0.04949948936700821	0.04688548296689987	0.005245570093393326	0.19040851294994354	0.2031482756137848	0.21692728996276855	0.25179392099380493	0.03953919559717178	0.2187260538339615	0.0817863866686821	0.1668306142091751	0.019493229687213898	0.5866428017616272	0.2519449293613434	0.06593231856822968
RPS6KA4	0.7452343702316284	0.08015403151512146	0.1336020827293396	0.13923577964305878	0.0643647238612175	0.17571291327476501	0.09635323286056519	0.07702574878931046	0.004201723262667656	0.0008672981057316065	0.0007362242904491723	0.1046401709318161	0.051112644374370575	0.038232285529375076	0.0339224711060524	0.002055977936834097	0.12817087769508362	0.07566854357719421	0.07373270392417908	0.12054625153541565	0.013003160245716572	0.19618280231952667	0.060500748455524445	0.10385224968194962	0.021691134199500084	0.5171247124671936	0.2614026665687561	0.003273425856605172
PRKAB2	0.2650303542613983	0.02524753473699093	0.1525835245847702	0.09578882157802582	0.08288581669330597	0.27606984972953796	0.2026561051607132	0.4348248541355133	0.007770172785967588	0.02371237240731716	0.021388735622167587	0.17633484303951263	0.08988644927740097	0.20269928872585297	0.02316657267510891	0.018862895667552948	0.09078481048345566	0.10110366344451904	0.1885870397090912	0.19910043478012085	0.11990638077259064	0.24229755997657776	0.1476936936378479	0.2420717179775238	0.03884220868349075	0.4694952070713043	0.22217603027820587	0.38006171584129333
SETDB2	0.3112598657608032	0.08823028951883316	0.1019696369767189	0.0685652568936348	0.12627284228801727	0.13911914825439453	0.1826554834842682	0.25440970063209534	0.002635291079059243	0.006184848956763744	0.004740729462355375	0.26344358921051025	0.18104417622089386	0.24865472316741943	0.05532006919384003	0.002878607949241996	0.11941467970609665	0.10551320761442184	0.18321828544139862	0.24972909688949585	0.08173612505197525	0.3599807918071747	0.17344039678573608	0.22007909417152405	0.03533131629228592	0.4590321183204651	0.3126732110977173	0.06024491414427757
EYA3	0.4693995714187622	0.05133828893303871	0.12690116465091705	0.07703828066587448	0.03248421847820282	0.27594470977783203	0.13257203996181488	0.21811798214912415	0.010432456620037556	0.007504711858928204	0.006263577379286289	0.21271245181560516	0.11882547289133072	0.09701257199048996	0.02272641845047474	0.008592282421886921	0.0916866734623909	0.09027647227048874	0.08450619876384735	0.2258935123682022	0.11358866095542908	0.3033575415611267	0.08102361857891083	0.11407636106014252	0.043739739805459976	0.5772002339363098	0.18835654854774475	0.035230133682489395
ING1	0.20218081772327423	0.007262066006660461	0.09188185632228851	0.025191355496644974	0.008001964539289474	0.06873330473899841	0.09898899495601654	0.03685736283659935	0.00022761427680961788	0.0034543999936431646	0.0012532317778095603	0.019510716199874878	0.010119677521288395	0.023439249023795128	0.010092201642692089	3.899081639247015e-05	0.02724456414580345	0.028124893084168434	0.010472930036485195	0.02931923419237137	0.5429224967956543	0.2317083477973938	0.021271487697958946	0.013950560241937637	0.001036099623888731	0.6862348914146423	0.1999419629573822	0.013033205643296242
CBX2	0.6484443545341492	0.15250363945960999	0.2238549292087555	0.269619345664978	0.07990261167287827	0.3537418246269226	0.1616142988204956	0.18694978952407837	0.007626556791365147	0.0060776895843446255	0.005569523200392723	0.15249384939670563	0.13629458844661713	0.09825672954320908	0.04176844283938408	0.0224088616669178	0.1804521381855011	0.06858223676681519	0.16202113032341003	0.20092031359672546	0.05125380679965019	0.22512756288051605	0.12413962185382843	0.14735236763954163	0.06884057819843292	0.3891051113605499	0.349295437335968	0.017265448346734047
PDP1	0.6012560725212097	0.10309801250696182	0.11724421381950378	0.02653604932129383	0.05645141378045082	0.7120698094367981	0.10075636953115463	0.14216402173042297	0.0011227582581341267	0.00020914894412271678	0.00032390118576586246	0.12465604394674301	0.07051122933626175	0.06715277582406998	0.013236803002655506	0.004646011628210545	0.05621908977627754	0.04061853513121605	0.04149922356009483	0.10274789482355118	0.0045621818862855434	0.1623808741569519	0.044162072241306305	0.08979678153991699	0.015155711211264133	0.31781452894210815	0.08927637338638306	0.014028429985046387
BARD1	0.29274389147758484	0.10189137607812881	0.3206867277622223	0.1319013088941574	0.5423171520233154	0.1737579107284546	0.17580805718898773	0.3324209153652191	0.013981192372739315	0.02186593785881996	0.018599236384034157	0.24448935687541962	0.06155993789434433	0.07501939684152603	0.029010109603405	0.0034234393388032913	0.07674961537122726	0.08811759948730469	0.19124735891819	0.1937572956085205	0.0664992555975914	0.25142884254455566	0.09017021954059601	0.06972774118185043	0.025719651952385902	0.3562377095222473	0.1703939586877823	0.02215922623872757
CREBBP	0.7227847576141357	0.14626826345920563	0.18737360835075378	0.13484475016593933	0.13191892206668854	0.21379037201404572	0.06128816306591034	0.09877142310142517	0.001901676645502448	0.00029879595967940986	0.0002703719073906541	0.1692587435245514	0.05075277015566826	0.045099109411239624	0.016124343499541283	0.0010179722448810935	0.0953182503581047	0.05335984006524086	0.07387766987085342	0.12763527035713196	0.0065436093136668205	0.1983020007610321	0.06344785541296005	0.06134936586022377	0.012558111920952797	0.3277199864387512	0.4389175474643707	0.005896985996514559
