filename,if_plate_id,position,sample,locations,antibody,ensembl_ids,gene_names
B2AI_1_untreated_C7_R6_,B2AI_1_untreated,C7,R6,,HPA044540,ENSG00000162409,
B2AI_1_untreated_C7_R7_,B2AI_1_untreated,C7,R7,,HPA044540,ENSG00000162409,
B2AI_1_untreated_C7_R8_,B2AI_1_untreated,C7,R8,,HPA044540,ENSG00000162409,
B2AI_1_untreated_F8_R1_,B2AI_1_untreated,F8,R1,,HPA044910,ENSG00000118058,
B2AI_1_untreated_F8_R2_,B2AI_1_untreated,F8,R2,,HPA044910,ENSG00000118058,
B2AI_1_untreated_F8_R3_,B2AI_1_untreated,F8,R3,,HPA044910,ENSG00000118058,
B2AI_1_untreated_F8_R4_,B2AI_1_untreated,F8,R4,,HPA044910,ENSG00000118058,
B2AI_1_untreated_F8_R5_,B2AI_1_untreated,F8,R5,,HPA044910,ENSG00000118058,
B2AI_1_untreated_F8_R6_,B2AI_1_untreated,F8,R6,,HPA044910,ENSG00000118058,
B2AI_1_untreated_F8_R7_,B2AI_1_untreated,F8,R7,,HPA044910,ENSG00000118058,
B2AI_1_untreated_F8_R8_,B2AI_1_untreated,F8,R8,,HPA044910,ENSG00000118058,
B2AI_1_untreated_A1_R1_,B2AI_1_untreated,A1,R1,,HPA045168,ENSG00000143799,
B2AI_1_untreated_A1_R2_,B2AI_1_untreated,A1,R2,,HPA045168,ENSG00000143799,
B2AI_1_untreated_A1_R3_,B2AI_1_untreated,A1,R3,,HPA045168,ENSG00000143799,
B2AI_1_untreated_A1_R4_,B2AI_1_untreated,A1,R4,,HPA045168,ENSG00000143799,
B2AI_1_untreated_A1_R5_,B2AI_1_untreated,A1,R5,,HPA045168,ENSG00000143799,
B2AI_1_untreated_A1_R6_,B2AI_1_untreated,A1,R6,,HPA045168,ENSG00000143799,
B2AI_1_untreated_A1_R7_,B2AI_1_untreated,A1,R7,,HPA045168,ENSG00000143799,
B2AI_1_untreated_A1_R8_,B2AI_1_untreated,A1,R8,,HPA045168,ENSG00000143799,
B2AI_1_untreated_D1_R1_,B2AI_1_untreated,D1,R1,,HPA046793,ENSG00000069869,
B2AI_1_untreated_D1_R3_,B2AI_1_untreated,D1,R3,,HPA046793,ENSG00000069869,
B2AI_1_untreated_D1_R4_,B2AI_1_untreated,D1,R4,,HPA046793,ENSG00000069869,
B2AI_1_untreated_D1_R5_,B2AI_1_untreated,D1,R5,,HPA046793,ENSG00000069869,
B2AI_1_untreated_D1_R7_,B2AI_1_untreated,D1,R7,,HPA046793,ENSG00000069869,
B2AI_1_untreated_D1_R8_,B2AI_1_untreated,D1,R8,,HPA046793,ENSG00000069869,
B2AI_1_untreated_G6_R1_,B2AI_1_untreated,G6,R1,,HPA048321,ENSG00000166501,
B2AI_1_untreated_G6_R2_,B2AI_1_untreated,G6,R2,,HPA048321,ENSG00000166501,
B2AI_1_untreated_G6_R3_,B2AI_1_untreated,G6,R3,,HPA048321,ENSG00000166501,
B2AI_1_untreated_G6_R4_,B2AI_1_untreated,G6,R4,,HPA048321,ENSG00000166501,
B2AI_1_untreated_G6_R5_,B2AI_1_untreated,G6,R5,,HPA048321,ENSG00000166501,
B2AI_1_untreated_G6_R6_,B2AI_1_untreated,G6,R6,,HPA048321,ENSG00000166501,
B2AI_1_untreated_G6_R7_,B2AI_1_untreated,G6,R7,,HPA048321,ENSG00000166501,
B2AI_1_untreated_G6_R8_,B2AI_1_untreated,G6,R8,,HPA048321,ENSG00000166501,
B2AI_1_untreated_E11_R1_,B2AI_1_untreated,E11,R1,,HPA048340,ENSG00000127616,
B2AI_1_untreated_E11_R2_,B2AI_1_untreated,E11,R2,,HPA048340,ENSG00000127616,
B2AI_1_untreated_E11_R3_,B2AI_1_untreated,E11,R3,,HPA048340,ENSG00000127616,
B2AI_1_untreated_E11_R4_,B2AI_1_untreated,E11,R4,,HPA048340,ENSG00000127616,
B2AI_1_untreated_E11_R5_,B2AI_1_untreated,E11,R5,,HPA048340,ENSG00000127616,
B2AI_1_untreated_E11_R6_,B2AI_1_untreated,E11,R6,,HPA048340,ENSG00000127616,
B2AI_1_untreated_E11_R7_,B2AI_1_untreated,E11,R7,,HPA048340,ENSG00000127616,
B2AI_1_untreated_E11_R8_,B2AI_1_untreated,E11,R8,,HPA048340,ENSG00000127616,
B2AI_1_untreated_B9_R3_,B2AI_1_untreated,B9,R3,,HPA048431,ENSG00000165671,
B2AI_1_untreated_B9_R4_,B2AI_1_untreated,B9,R4,,HPA048431,ENSG00000165671,
B2AI_1_untreated_B9_R5_,B2AI_1_untreated,B9,R5,,HPA048431,ENSG00000165671,
B2AI_1_untreated_B9_R6_,B2AI_1_untreated,B9,R6,,HPA048431,ENSG00000165671,
B2AI_1_untreated_B9_R7_,B2AI_1_untreated,B9,R7,,HPA048431,ENSG00000165671,
B2AI_1_untreated_B9_R8_,B2AI_1_untreated,B9,R8,,HPA048431,ENSG00000165671,
B2AI_1_untreated_E3_R1_,B2AI_1_untreated,E3,R1,,HPA048723,ENSG00000068024,
B2AI_1_untreated_E3_R2_,B2AI_1_untreated,E3,R2,,HPA048723,ENSG00000068024,
B2AI_1_untreated_E3_R3_,B2AI_1_untreated,E3,R3,,HPA048723,ENSG00000068024,
B2AI_1_untreated_E3_R4_,B2AI_1_untreated,E3,R4,,HPA048723,ENSG00000068024,
B2AI_1_untreated_E3_R5_,B2AI_1_untreated,E3,R5,,HPA048723,ENSG00000068024,
B2AI_1_untreated_E3_R6_,B2AI_1_untreated,E3,R6,,HPA048723,ENSG00000068024,
B2AI_1_untreated_E3_R7_,B2AI_1_untreated,E3,R7,,HPA048723,ENSG00000068024,
B2AI_1_untreated_E3_R8_,B2AI_1_untreated,E3,R8,,HPA048723,ENSG00000068024,
B2AI_1_untreated_C2_R2_,B2AI_1_untreated,C2,R2,,HPA049408,ENSG00000276043,
B2AI_1_untreated_C2_R3_,B2AI_1_untreated,C2,R3,,HPA049408,ENSG00000276043,
B2AI_1_untreated_C2_R4_,B2AI_1_untreated,C2,R4,,HPA049408,ENSG00000276043,
B2AI_1_untreated_C2_R5_,B2AI_1_untreated,C2,R5,,HPA049408,ENSG00000276043,
B2AI_1_untreated_C2_R6_,B2AI_1_untreated,C2,R6,,HPA049408,ENSG00000276043,
B2AI_1_untreated_C2_R7_,B2AI_1_untreated,C2,R7,,HPA049408,ENSG00000276043,
B2AI_1_untreated_C2_R8_,B2AI_1_untreated,C2,R8,,HPA049408,ENSG00000276043,
